date_of_sale ,street,postal_code,county,price ,not_full_market_price,vat_exclusive,property_name
3/1/2020,"KILLANLEY LODGE, KILLANLEY, BALLINA",,Sligo,330000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"MOY, KINVARA, GALWAY",,Galway,345000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"MULLAVALLEY, LOUTH VILLAGE, DUNDALK",,Louth,205000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"RATHNACREEVA, BALLYGLASS, CLAREMORRIS",,Roscommon,57500,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"REEN, BALLINSKELLIGS, CO KERRY",,Kerry,240000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"SEACH MOR HOUSE, BELCRUIT MEENBANAD, BURTONPORT",,Donegal,83000,No,No,Second-Hand Dwelling house /Apartment
4/1/2020,"12 The Lane, Whitefield Manor, Bettystown",,Meath,259911.89,No,Yes,New Dwelling house /Apartment
6/1/2020,"1 FOYLE VIEW APTS, BATH TERRACE, MOVILLE",,Donegal,50000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"1 Grand Canal View, St. James's Terrace, Dolphin's Barn",,Dublin,497797.36,No,Yes,New Dwelling house /Apartment
6/1/2020,"1 ROSS VIEW, BUNDORAN, DONEGAL",,Donegal,118000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"1 SAINT ORANS PARK, BUNCRANA, LIFFORD",,Donegal,220000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"10 ARDKEALE, MOUNT OVAL VILLAGE, ROCHESTOWN",,Cork,255000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"10 MT AUBURN CLOSE, BRYANSTOWN MANOR, DROGHEDA",,Louth,225000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"10 PROBY HALL, KILLINEY RD, CO DUBLIN",,Dublin,360000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"10 THE SYCAMORES, CLASES LAKE, BALLINCOLLIG",,Cork,260000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"101 SALLINS PIER, SALLINS, KILDARE",,Kildare,283000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"11 REDWOOD, HOLLYSTOWN, DUBLIN 15",Dublin 15,Dublin,302000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"12 DEERPARK HEIGHTS, CARLNSTOWN, KELLS",,Meath,90000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"12 UILINN, MOYCULLEN, GALWAY",,Galway,295000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"121 BOROIMHE BEECH, SWORDS, DUBLIN",,Dublin,230000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"130 DELMEGE PARK, MOYROSS, LIMERICK",,Limerick,35000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"14 The Orchard, Watergrasshill",,Cork,251101.32,No,Yes,New Dwelling house /Apartment
6/1/2020,"141 HENNESSYS RD, WATERFORD, WATERFORD",,Waterford,100000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"16 DUIRLING, ROSCAM, GALWAY",,Galway,285000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"18 PINEVIEW PARK, AYLESBURY, TALLAGHT DUBLIN 24",Dublin 24,Dublin,45000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"18 RIVERSIDE LAWNS, KINNEGAD, WESTMEATH",,Westmeath,210000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"18 SILVER BIRCH, MONASTERY RD, ROCHESTOWN",,Cork,238000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"19 Bollarney Woods, Bollarney North, Wicklow",,Wicklow,313403.45,Yes,Yes,New Dwelling house /Apartment
6/1/2020,"19 KNOCKCARRICK, ANNYALLA, CASTLEBLAYNEY",,Monaghan,205000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"2 MOUNT SYMON AVE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,365000,Yes,No,Second-Hand Dwelling house /Apartment
6/1/2020,"2 PLUNKETT DRIVE, KILKISHEN, CO. CLARE",,Clare,69000,No,No,Second-Hand Dwelling house /Apartment
6/1/2020,"20 Bollarney Woods, Bollarney North, Wicklow",,Wicklow,313403.45,Yes,Yes,New Dwelling house /Apartment
6/1/2020,"21 Bollarney Woods, Bollarney North, Wicklow",,Wicklow,313403.45,Yes,Yes,New Dwelling house /Apartment
